sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,averageRespiration,lowestRespiration,highestRespiration,retro,awakeCount,avgSleepStress,restlessMomentCount,sleepScores.overallScore,sleepScores.qualityScore,sleepScores.durationScore,sleepScores.recoveryScore,sleepScores.deepScore,sleepScores.remScore,sleepScores.lightScore,sleepScores.awakeningsCountScore,sleepScores.awakeTimeScore,sleepScores.combinedAwakeScore,sleepScores.restfulnessScore,sleepScores.interruptionsScore,sleepScores.feedback,sleepScores.insight
2022-08-07 22:34:00,2022-08-08 06:22:00,2022-08-08,ENHANCED_CONFIRMED_FINAL,2400.0,14700.0,10680.0,300.0,0.0,14.0,9.0,17.0,False,0.0,9.810869565217391,46.0,84.0,86.0,95.0,100.0,65.0,65.0,100.0,100.0,100.0,100.0,69.0,92.0,POSITIVE_LONG_AND_RECOVERING,NONE
2022-08-08 22:34:00,2022-08-09 04:52:00,2022-08-09,ENHANCED_CONFIRMED_FINAL,7380.0,9300.0,5820.0,180.0,0.0,13.0,8.0,18.0,False,0.0,11.519893899204243,35.0,80.0,95.0,69.0,93.0,100.0,100.0,97.0,100.0,100.0,100.0,72.0,93.0,POSITIVE_REFRESHING,POSITIVE_EXERCISE
2022-08-09 22:22:00,2022-08-10 04:49:00,2022-08-10,ENHANCED_CONFIRMED_FINAL,4920.0,13020.0,4860.0,420.0,0.0,13.0,8.0,17.0,False,1.0,13.497354497354497,37.0,77.0,86.0,70.0,80.0,100.0,82.0,93.0,87.0,97.0,92.0,69.0,86.0,POSITIVE_DEEP,POSITIVE_LATE_BED_TIME
2022-08-10 22:07:00,2022-08-11 05:13:00,2022-08-11,ENHANCED_CONFIRMED_FINAL,4020.0,15660.0,5340.0,540.0,0.0,14.0,8.0,21.0,False,1.0,13.43559718969555,44.0,81.0,83.0,78.0,83.0,80.0,82.0,83.0,87.0,95.0,91.0,62.0,84.0,POSITIVE_CONTINUOUS,NONE
2022-08-11 21:09:00,2022-08-12 04:46:00,2022-08-12,ENHANCED_CONFIRMED_FINAL,3540.0,17340.0,6060.0,480.0,0.0,12.0,8.0,17.0,False,1.0,11.691466083150985,50.0,86.0,86.0,89.0,92.0,74.0,90.0,80.0,87.0,96.0,91.0,60.0,83.0,POSITIVE_LONG_AND_RECOVERING,NONE
2022-08-12 23:05:00,2022-08-13 06:31:00,2022-08-13,ENHANCED_CONFIRMED_FINAL,7320.0,13920.0,4140.0,1380.0,0.0,14.0,9.0,18.0,False,2.0,13.56599552572707,57.0,77.0,78.0,79.0,80.0,100.0,71.0,97.0,74.0,77.0,75.0,45.0,68.0,NEGATIVE_RESTLESS,NONE
2022-08-14 00:41:00,2022-08-14 06:32:00,2022-08-14,ENHANCED_CONFIRMED_FINAL,2580.0,10800.0,6720.0,960.0,0.0,14.0,8.0,18.0,False,1.0,17.13960113960114,34.0,68.0,75.0,61.0,69.0,74.0,75.0,99.0,87.0,85.0,86.0,65.0,81.0,POSITIVE_CONTINUOUS,NONE
2022-08-14 22:14:00,2022-08-15 07:34:00,2022-08-15,ENHANCED_CONFIRMED_FINAL,7980.0,16260.0,7080.0,2280.0,0.0,11.0,8.0,16.0,False,2.0,8.097605893186003,71.0,85.0,87.0,100.0,100.0,100.0,91.0,100.0,74.0,62.0,68.0,46.0,64.0,POSITIVE_LONG_AND_RECOVERING,POSITIVE_RESTFUL_DAY
2022-08-15 21:49:00,2022-08-16 06:04:00,2022-08-16,ENHANCED_CONFIRMED_FINAL,3900.0,17760.0,7320.0,720.0,0.0,12.0,8.0,18.0,False,0.0,10.22020202020202,59.0,92.0,91.0,100.0,99.0,75.0,100.0,85.0,100.0,91.0,95.0,52.0,85.0,POSITIVE_OPTIMAL_STRUCTURE,POSITIVE_EXERCISE
2022-08-16 21:39:00,2022-08-17 06:12:00,2022-08-17,ENHANCED_CONFIRMED_FINAL,5940.0,16080.0,7920.0,840.0,0.0,12.0,8.0,17.0,False,1.0,9.193675889328063,65.0,93.0,93.0,100.0,100.0,99.0,100.0,99.0,87.0,88.0,87.0,49.0,78.0,POSITIVE_HIGHLY_RECOVERING,POSITIVE_RESTFUL_DAY
2022-08-17 21:48:00,2022-08-18 05:03:00,2022-08-18,ENHANCED_CONFIRMED_FINAL,6540.0,12960.0,5820.0,780.0,0.0,15.0,9.0,23.0,False,1.0,13.995260663507109,29.0,84.0,90.0,79.0,83.0,100.0,93.0,100.0,87.0,89.0,88.0,92.0,89.0,POSITIVE_DEEP,NONE
2022-08-18 22:16:00,2022-08-19 04:32:00,2022-08-19,ENHANCED_CONFIRMED_FINAL,2760.0,15300.0,4260.0,240.0,0.0,13.0,8.0,18.0,False,0.0,12.778666666666666,41.0,76.0,85.0,68.0,89.0,73.0,76.0,74.0,100.0,100.0,100.0,61.0,90.0,POSITIVE_CONTINUOUS,NONE
2022-08-19 22:31:00,2022-08-20 06:33:00,2022-08-20,ENHANCED_CONFIRMED_FINAL,4200.0,16260.0,7140.0,1320.0,0.0,13.0,8.0,19.0,False,1.0,9.13953488372093,34.0,91.0,91.0,94.0,100.0,78.0,100.0,89.0,87.0,78.0,82.0,89.0,84.0,POSITIVE_HIGHLY_RECOVERING,POSITIVE_LATE_BED_TIME
2022-08-20 23:41:00,2022-08-21 08:10:00,2022-08-21,ENHANCED_CONFIRMED_FINAL,4320.0,11520.0,13620.0,1080.0,0.0,14.0,8.0,20.0,False,1.0,10.437751004016064,47.0,62.0,71.0,100.0,93.0,77.0,0.0,94.0,87.0,83.0,85.0,70.0,82.0,NEGATIVE_LONG_BUT_TOO_MUCH_REM,NONE
2022-08-21 21:55:00,2022-08-22 05:39:00,2022-08-22,ENHANCED_CONFIRMED_FINAL,2820.0,14700.0,7440.0,2880.0,0.0,14.0,8.0,20.0,False,1.0,10.162337662337663,28.0,80.0,84.0,78.0,98.0,71.0,88.0,89.0,87.0,52.0,69.0,93.0,74.0,POSITIVE_RECOVERING,POSITIVE_RESTFUL_DAY
2022-08-22 22:10:00,2022-08-23 05:38:00,2022-08-23,ENHANCED_CONFIRMED_FINAL,2880.0,18120.0,4500.0,1380.0,0.0,15.0,8.0,22.0,False,2.0,12.113425925925926,40.0,79.0,80.0,80.0,93.0,71.0,73.0,71.0,74.0,77.0,75.0,73.0,75.0,POSITIVE_LONG_AND_RECOVERING,NONE
2022-08-23 22:39:00,2022-08-24 06:03:00,2022-08-24,ENHANCED_CONFIRMED_FINAL,8760.0,8820.0,9000.0,60.0,0.0,12.0,9.0,21.0,False,0.0,11.397674418604652,20.0,89.0,94.0,87.0,95.0,100.0,74.0,85.0,100.0,100.0,100.0,100.0,100.0,POSITIVE_LONG_AND_CONTINUOUS,POSITIVE_LATE_BED_TIME
2022-08-24 21:30:00,2022-08-25 06:20:00,2022-08-25,ENHANCED_CONFIRMED_FINAL,4440.0,19860.0,6540.0,960.0,0.0,12.0,8.0,17.0,False,1.0,10.34251968503937,64.0,88.0,85.0,100.0,98.0,77.0,81.0,80.0,87.0,85.0,86.0,51.0,78.0,POSITIVE_LONG_AND_RECOVERING,POSITIVE_RESTFUL_DAY
2022-08-25 21:56:00,2022-08-26 06:06:00,2022-08-26,ENHANCED_CONFIRMED_FINAL,2640.0,18780.0,7740.0,240.0,0.0,14.0,8.0,23.0,False,0.0,13.69653767820774,58.0,88.0,85.0,100.0,85.0,66.0,100.0,80.0,100.0,100.0,100.0,54.0,88.0,POSITIVE_LONG_AND_REFRESHING,NONE
2022-08-26 22:49:00,2022-08-27 05:45:00,2022-08-27,ENHANCED_CONFIRMED_FINAL,4800.0,12000.0,7320.0,840.0,0.0,13.0,8.0,19.0,False,1.0,14.20863309352518,43.0,80.0,85.0,75.0,82.0,100.0,84.0,100.0,87.0,88.0,87.0,61.0,81.0,POSITIVE_DEEP,POSITIVE_EXERCISE
2022-08-27 22:23:00,2022-08-28 08:47:00,2022-08-28,ENHANCED_CONFIRMED_FINAL,5220.0,19920.0,11580.0,720.0,0.0,14.0,9.0,20.0,False,1.0,9.5718901453958,69.0,88.0,85.0,100.0,97.0,76.0,79.0,98.0,87.0,91.0,89.0,58.0,81.0,POSITIVE_LONG_AND_RECOVERING,NONE
2022-08-28 23:00:00,2022-08-29 06:41:00,2022-08-29,ENHANCED_CONFIRMED_FINAL,2760.0,11880.0,11880.0,1140.0,0.0,12.0,8.0,18.0,False,2.0,7.790432801822323,38.0,60.0,71.0,86.0,100.0,69.0,0.0,100.0,74.0,81.0,77.0,78.0,77.0,NEGATIVE_LONG_BUT_TOO_MUCH_REM,NEGATIVE_LATE_BED_TIME
2022-08-29 22:22:00,2022-08-30 05:54:00,2022-08-30,ENHANCED_CONFIRMED_FINAL,4620.0,13860.0,8400.0,240.0,0.0,12.0,7.0,18.0,False,0.0,8.292740046838407,33.0,91.0,93.0,89.0,100.0,86.0,80.0,100.0,100.0,100.0,100.0,88.0,97.0,POSITIVE_HIGHLY_RECOVERING,POSITIVE_LATE_BED_TIME
2022-08-30 23:11:00,2022-08-31 05:30:00,2022-08-31,ENHANCED_CONFIRMED_FINAL,5160.0,12720.0,3780.0,1080.0,0.0,15.0,8.0,22.0,False,1.0,23.121052631578948,39.0,70.0,77.0,66.0,65.0,100.0,73.0,90.0,87.0,83.0,85.0,60.0,79.0,POSITIVE_DEEP,NONE
2022-08-31 22:24:00,2022-09-01 05:13:00,2022-09-01,ENHANCED_CONFIRMED_FINAL,6780.0,12240.0,5100.0,420.0,0.0,15.0,12.0,22.0,False,0.0,10.738916256157635,22.0,83.0,94.0,75.0,91.0,100.0,81.0,100.0,100.0,97.0,98.0,100.0,99.0,POSITIVE_CALM,NONE
2022-09-01 22:44:00,2022-09-02 06:21:00,2022-09-02,ENHANCED_CONFIRMED_FINAL,5400.0,16020.0,5580.0,420.0,0.0,14.0,8.0,19.0,False,1.0,17.166666666666668,41.0,89.0,86.0,96.0,77.0,97.0,95.0,92.0,87.0,97.0,92.0,71.0,86.0,POSITIVE_LONG_AND_DEEP,POSITIVE_EXERCISE
2022-09-03 00:08:00,2022-09-03 07:30:00,2022-09-03,ENHANCED_CONFIRMED_FINAL,5760.0,12240.0,7320.0,1200.0,0.0,12.0,8.0,17.0,False,2.0,10.296187683284458,39.0,83.0,89.0,79.0,94.0,100.0,94.0,100.0,74.0,80.0,77.0,75.0,76.0,POSITIVE_DEEP,POSITIVE_RESTFUL_DAY
2022-09-03 22:57:00,2022-09-04 05:45:00,2022-09-04,ENHANCED_CONFIRMED_FINAL,3120.0,12780.0,7680.0,900.0,0.0,13.0,7.0,22.0,False,1.0,4.196969696969697,36.0,79.0,86.0,73.0,98.0,74.0,77.0,98.0,87.0,87.0,87.0,73.0,84.0,POSITIVE_RECOVERING,POSITIVE_EXERCISE
